id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,business_hours,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,attributes.business_url,attributes.about_this_biz_bio_photo_dict,attributes.about_this_biz_business_recommendation,attributes.business_temp_closed,attributes.about_this_biz_bio,attributes.about_this_biz_bio_first_name,attributes.about_this_biz_bio_last_name,attributes.about_this_biz_history,attributes.about_this_biz_role,attributes.about_this_biz_specialties,attributes.about_this_biz_year_established,attributes.accepted_cards.credit,attributes.accepted_cards.none,attributes.accepted_cards.debit,attributes.alcohol,attributes.ambience.hipster,attributes.ambience.casual,attributes.ambience.touristy,attributes.ambience.trendy,attributes.ambience.intimate,attributes.ambience.romantic,attributes.ambience.classy,attributes.ambience.upscale,attributes.best_nights,attributes.bike_parking,attributes.business_accepts_apple_pay,attributes.business_parking.garage,attributes.business_parking.street,attributes.business_parking.validated,attributes.business_parking.lot,attributes.business_parking.valet,attributes.caters,attributes.dogs_allowed,attributes.drive_thru,attributes.good_for_dancing,attributes.good_for_kids,attributes.good_for_meal.breakfast,attributes.good_for_meal.brunch,attributes.good_for_meal.lunch,attributes.good_for_meal.dinner,attributes.good_for_meal.latenight,attributes.good_for_meal.dessert,attributes.happy_hour,attributes.has_pool_table,attributes.has_tv,attributes.menu_url,attributes.noise_level,attributes.open24_hours,attributes.platform_delivery,attributes.restaurants_attire,attributes.restaurants_delivery,attributes.restaurants_good_for_groups,attributes.restaurants_reservations,attributes.restaurants_table_service,attributes.restaurants_take_out,attributes.waitlist_reservation,attributes.wi_fi,attributes.liked_by_vegans,attributes.outdoor_seating,attributes.liked_by_vegetarians,attributes.ambience,attributes.business_parking,attributes.good_for_meal,attributes.accepted_cards,station_id,attributes.about_this_biz_bio_photo_dict.photo_id,attributes.about_this_biz_bio_photo_dict.biz_user_id,attributes.best_nights.monday,attributes.best_nights.tuesday,attributes.best_nights.wednesday,attributes.best_nights.thursday,attributes.best_nights.friday,attributes.best_nights.saturday,attributes.best_nights.sunday,attributes.ambience.divey
T4Vg3C9_cShGJL4Hq0Yahw,les-street-monkeys-montréal,Les Street Monkeys,https://s3-media0.fl.yelpcdn.com/bphoto/aS6KnC4z_ioRFOZMs23EAg/o.jpg,False,https://www.yelp.com/biz/les-street-monkeys-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,84,"[{'alias': 'cambodian', 'title': 'Cambodian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.4,[],$$,+15147681818,+1 514-768-1818,546.9797254282108,"[{'open': [{'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1730', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.46767,-73.56688,3625 Rue Wellington,,,Montreal,H4G 1T9,CA,QC,"['3625 Rue Wellington', 'Montreal, QC H4G 1T9', 'Canada']",https://www.streetmonkeys.ca,,[],,,,,,,,,True,False,True,full_bar,True,True,False,True,False,False,False,False,,False,,False,True,False,False,False,True,False,,,False,,,,True,,,,,False,https://www.streetmonkeys.ca/wp-content/uploads/2021/06/sm_foodmenu_2021_0606.pdf,average,,,casual,False,True,True,True,True,,no,,False,,,,,,0,,,,,,,,,,
xsVUe3vfQkUuFBJcKAzDuA,beba-montréal-2,Beba,https://s3-media0.fl.yelpcdn.com/bphoto/AEEHCJXLk5KLoO5HeUhVrQ/o.jpg,False,https://www.yelp.com/biz/beba-montr%C3%A9al-2?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,32,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.7,[],,+15147507087,+1 514-750-7087,269.70672232583547,"[{'open': [{'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1730', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.4648687681207,-73.56781391229633,3900 Rue Éthel,,,Montreal,H4G 2J6,CA,QC,"['3900 Rue Éthel', 'Montreal, QC H4G 2J6', 'Canada']",https://www.restaurantbeba.ca,,[],,,,,,,,,False,False,False,,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,,,False,False,False,False,False,False,,,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
_-u3js_j6WHkRZ416gBeog,bistro-entre-ciel-et-terre-verdun-2,Bistro Entre Ciel et Terre,https://s3-media0.fl.yelpcdn.com/bphoto/06IHYWFiXphDi1BlG_HaSA/o.jpg,False,https://www.yelp.com/biz/bistro-entre-ciel-et-terre-verdun-2?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,34,"[{'alias': 'french', 'title': 'French'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.1,[],$$,+15147680740,+1 514-768-0740,553.6056103210236,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.4629621,-73.5730338,750 Rue de l'Eglise,,,Verdun,H4G 2M8,CA,QC,"[""750 Rue de l'Eglise"", 'Verdun, QC H4G 2M8', 'Canada']",,,[],,,,,"Date d'ouverture: 4 mars 2011

L'ouverture de ce bistro fait suite à une expérience de 12 ans en restauration du chef propriétaire. Après avoir travaillé au sein de plusieurs restaurants et avoir appris avec de grands chefs, il décide d'ouvrir son propre restaurant pour partager sa passion avec les gens du quartier.",,"Le Bistro Entre Ciel et Terre est un petit restaurant de quartier des plus convivial. L'endroit est tout aussi bien parfait pour une soirée en tête qu'un 5 à 7 entre collègues ou un dîner d'affaire.

Le menu étant très varié, vous pouvez choisir entre un burger, des moules, des pâtes, du poisson et bien plus encore.

Déjeuner à tous les jours.",2011,True,False,True,full_bar,,True,,False,,,False,False,,True,False,False,True,False,False,False,False,,,,True,False,,True,True,False,,True,,True,,average,,,casual,False,True,True,,True,,no,,True,,,,,,0,,,,,,,,,,
JRWHerrkhbQJ6aFUv4hr4g,janine-café-montréal,Janine Café,https://s3-media0.fl.yelpcdn.com/bphoto/Mg_8RvOPOllnDvYBR-a30A/o.jpg,False,https://www.yelp.com/biz/janine-caf%C3%A9-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,72,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.6,[],$$,+15145435372,+1 514-543-5372,230.61080223422348,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.46475,-73.56657,3900 Rue Wellington,,,Montreal,H4G 1V3,CA,QC,"['3900 Rue Wellington', 'Montreal, QC H4G 1V3', 'Canada']",http://www.janinecafe.ca,,[],,,Charles,D,"Comme sa grande soeur, RÉGINE CAFÉ, JANINE possède son propre menu, son propre décor et son expérience bien à elle.",Business Owner,"La fête du matin... tous les matins!  Des brunchs représentant une cuisine créative et originale mettant en valeur les saveurs locales et la culture montréalaise.

Bacon artisanal, pain brioché maison, cretons savoureux, poulet frit et gaufre de maïs, latkes de betteraves,  œuf écossais, ne sont que quelques éléments qui font la différence de Janine Café.  Plusieurs options végétariennes et quelques unes végétaliennes sont disponibles.",2018,True,False,True,full_bar,,True,,True,,True,True,True,,False,False,False,True,False,False,False,False,False,,,True,,True,True,,,,False,,False,http://www.reginecafe.ca/fr/wp-content/uploads/2019/05/Menu-JANINE-ete-2019-1280-820.png,average,,,,False,True,False,True,True,,free,True,False,,,,,,0,,,,,,,,,,
DJrA_UqtRoOb1MEYrySU5w,moa-moa-montréal,Moa Moa,https://s3-media0.fl.yelpcdn.com/bphoto/TbPmvgAkmyiErUM05eghZA/o.jpg,False,https://www.yelp.com/biz/moa-moa-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,10,"[{'alias': 'korean', 'title': 'Korean'}]",4.7,[],,+15147320000,+1 514-732-0000,344.44587887333745,[],45.459841,-73.567091,4424 Rue Wellington,,,Montreal,H4G 1W5,CA,QC,"['4424 Rue Wellington', 'Montreal, QC H4G 1W5', 'Canada']",,,[],,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
cMkL8AfcYJKYMceG0oQ5NQ,bossa-montréal,Bossa,https://s3-media0.fl.yelpcdn.com/bphoto/gCpJOfSLWqHjMud3yA2hAg/o.jpg,False,https://www.yelp.com/biz/bossa-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,33,"[{'alias': 'importedfood', 'title': 'Imported Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.3,[],,+14383871211,+1 438-387-1211,283.94736232067805,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.460407,-73.567082,4354 Rue Wellington,,,Montreal,H4G 1W4,CA,QC,"['4354 Rue Wellington', 'Montreal, QC H4G 1W4', 'Canada']",,,[],,,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
8pYKU2mvaY495cCbS1d0Mw,comon-verdun,Comon,https://s3-media0.fl.yelpcdn.com/bphoto/BpZwWCMbws312YgwntXAIg/o.jpg,False,https://www.yelp.com/biz/comon-verdun?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,41,"[{'alias': 'korean', 'title': 'Korean'}]",4.6,[],,+15145433969,+1 514-543-3969,174.23388260053372,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.46413,-73.56487,3969 Boulevard LaSalle,,,Verdun,H4G 2A1,CA,QC,"['3969 Boulevard LaSalle', 'Verdun, QC H4G 2A1', 'Canada']",,,[],,,,,,,"Our restaurant is specialized in deep fried chicken, Korean style. We also have different sorts of Korean food.",2018,False,False,False,,False,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,,,False,False,False,False,False,False,,,True,,,,,,False,,True,,True,,,,,,,,,,0,,,,,,,,,,
0anXSUX9KG5sQEzs-Of8Vg,les-délices-de-l-île-maurice-verdun-2,Les Délices de l'Île Maurice,https://s3-media0.fl.yelpcdn.com/bphoto/6FK1fZfwDSC0BZcSIA8rFw/o.jpg,False,https://www.yelp.com/biz/les-d%C3%A9lices-de-l-%C3%AEle-maurice-verdun-2?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,20,"[{'alias': 'mauritius', 'title': 'Mauritius'}]",4.3,[],$$,+15147686023,+1 514-768-6023,249.35611253164006,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.46479,-73.56747,272 Rue Hickson,,,Verdun,H4G 2J6,CA,QC,"['272 Rue Hickson', 'Verdun, QC H4G 2J6', 'Canada']",,,,,,,,,,,,False,True,False,none,False,False,False,False,False,False,False,False,,True,,False,False,False,False,False,,,,,True,,,,,,,,,True,,quiet,,,casual,False,True,True,,True,,no,,False,False,,,,,0,,,,,,,,,,
qmt8bDeB0jOhwoRJUYJvTQ,ganadara-verdun,GaNaDaRa,https://s3-media0.fl.yelpcdn.com/bphoto/kxpReF9Vn2ZFJGlAupd9gg/o.jpg,False,https://www.yelp.com/biz/ganadara-verdun?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,4,"[{'alias': 'korean', 'title': 'Korean'}]",4.5,[],,+15147678880,+1 514-767-8880,365.8559334170491,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.4596451,-73.56710851192474,4436 Rue Wellington,,,Verdun,H4G 1W5,CA,QC,"['4436 Rue Wellington', 'Verdun, QC H4G 1W5', 'Canada']",https://www.ganadara.ca/en/find-us/verdun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ganadara.ca/en/menu,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
_qgGMpmBHfp36R13cVkyCA,rita-verdun,Rita,https://s3-media0.fl.yelpcdn.com/bphoto/p8A2tLUOayzkAdCwgRY2Vg/o.jpg,False,https://www.yelp.com/biz/rita-verdun?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,27,"[{'alias': 'italian', 'title': 'Italian'}]",3.9,[],,+15144191942,+1 514-419-1942,473.0993880510096,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2230', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2230', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.467,-73.5669,3681 Rue Wellington,,,Verdun,H4G 1V1,CA,QC,"['3681 Rue Wellington', 'Verdun, QC H4G 1V1', 'Canada']",https://ritarestaurant.ca,,,,,,,,,,,True,False,,,,True,False,,,,,,,,,,,,False,False,,,,,,False,False,False,False,False,False,,,True,https://ritarestaurant.ca/menu,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
soyZpe78MCeVN-0a11zSdQ,monarque-montréal,Monarque,https://s3-media0.fl.yelpcdn.com/bphoto/dxt1xCmsCGmt0_Vt-40y6Q/o.jpg,False,https://www.yelp.com/biz/monarque-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,252,"[{'alias': 'brasseries', 'title': 'Brasseries'}]",4.5,[],$$$,+15148753896,+1 514-875-3896,247.23995770574658,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",45.50158,-73.55962,406 Rue Saint-Jacques,,,Montreal,H2Y 1S1,CA,QC,"['406 Rue Saint-Jacques', 'Montreal, QC H2Y 1S1', 'Canada']",https://www.restaurantmonarque.ca,,[],,Chef-Owner of Monarque.,Jeremie,B,Monarque is a passion driven project led by Richard and Jeremie Bastien.,Business Owner,"Monarque is a stunning chef owned restaurant located in old Montreal. 
You can reserve a table in the Brasserie or in the Salle à Manger!
Two different rooms, two different menus with two different kitchens!",2018,True,False,True,full_bar,False,,,True,,True,,True,,,,,True,True,False,False,,False,,,,,,,True,,True,True,,True,,average,,,,False,True,True,True,False,,,,,,,,,,1,TNF0V6eRao36JvfkLmpk9Q,,,,,,,,,
NdnQdJ_-c40SH4uaJS44cQ,chifa-montréal,Chifa,https://s3-media0.fl.yelpcdn.com/bphoto/PXriv6JUIqzJAKwDt6LR4Q/o.jpg,False,https://www.yelp.com/biz/chifa-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,58,"[{'alias': 'peruvian', 'title': 'Peruvian'}]",4.4,[],,+15145438488,+1 514-543-8488,264.27264890909083,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",45.50441,-73.5637,1080 Rue de Bleury,,,Montreal,H2Z 1N2,CA,QC,"['1080 Rue de Bleury', 'Montreal, QC H2Z 1N2', 'Canada']",https://www.chifamtl.com,,[],,,,,,,,,True,False,True,full_bar,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,http://www.chifamtl.com/menuqcr,,,,,True,,True,,True,,free,,True,,,,,,1,,,,,,,,,,
4c8wUvs0L6tOKgVTHe74UA,neo-tokyo-montréal,Neo Tokyo,https://s3-media0.fl.yelpcdn.com/bphoto/TGe8y6qd8oD7uDusa5fQKA/o.jpg,False,https://www.yelp.com/biz/neo-tokyo-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,15,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.7,[],,+15143952222,+1 514-395-2222,132.69442184924358,[],45.50321141075191,-73.5623789805521,425 Avenue Viger O,,,Montreal,H2Z 1W5,CA,QC,"['425 Avenue Viger O', 'Montreal, QC H2Z 1W5', 'Canada']",,,,,,,,,,,,,False,,,,,,,,,,,,,,False,False,True,False,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
46Ld9Qc9nAx_A0jwclNZiw,olive-gourmando-montréal-2,Olive + Gourmando,https://s3-media0.fl.yelpcdn.com/bphoto/ZuZLO_mWE4VYYYH7GeLuTg/o.jpg,False,https://www.yelp.com/biz/olive-gourmando-montr%C3%A9al-2?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,1756,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]",4.4,[],$$,+15143501083,+1 514-350-1083,513.5729672107306,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",45.501197,-73.5564745926598,351 Rue Saint-Paul O,,,Montreal,H2Y 2A7,CA,QC,"['351 Rue Saint-Paul O', 'Montreal, QC H2Y 2A7', 'Canada']",http://oliveetgourmando.com,,[],,,,,,,,,True,False,True,beer_and_wine,,True,,True,False,False,True,False,,False,False,False,True,False,False,False,False,False,False,,True,True,True,True,False,False,False,,,False,http://oliveetgourmando.com/menus,loud,,,,False,True,False,True,True,,no,True,False,True,,,,,1,,,,,,,,,,
nRAJHJYnLXPU1owjjsh1VA,moishes-montréal,Moishes,https://s3-media0.fl.yelpcdn.com/bphoto/dalxqfMS4HuVKfTJ5Z0eFQ/o.jpg,False,https://www.yelp.com/biz/moishes-montr%C3%A9al?adjust_creative=lxQoJUBJdqc7dg9Y8Wu7EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lxQoJUBJdqc7dg9Y8Wu7EQ,26,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.3,[],,,,62.44272900779287,[],45.50246345851974,-73.5623494,1001 Rue du Square-Victoria,,,Montreal,H2Z 0A4,CA,QC,"['1001 Rue du Square-Victoria', 'Montreal, QC H2Z 0A4', 'Canada']",https://moishes.ca,,,,,,,,,,,,False,,,False,False,False,False,False,False,True,False,,,,False,False,True,False,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
